npc_subtype_final,comparison,gene,direction,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Eff-NPCs,severe_vs_mild,FKBP5,up_in_severe,0.35452301922252066,0.6013106138978143,0.125,0.168,1
Eff-NPCs,severe_vs_mild,LAMTOR5,up_in_severe,0.35455948739734955,0.3312269417339291,0.154,0.203,1
Eff-NPCs,severe_vs_mild,OGN,up_in_severe,0.35524054327027466,0.1684450963464732,0.673,0.692,1
Eff-NPCs,severe_vs_mild,MT1E,up_in_severe,0.3555288789473443,0.010478068115631345,0.433,0.545,1
Eff-NPCs,severe_vs_mild,ALDOA,up_in_severe,0.35603029120459473,0.7338329823240509,0.231,0.203,1
Eff-NPCs,severe_vs_mild,MED13,up_in_severe,0.3560742997508523,0.41308999918042477,0.096,0.134,1
Eff-NPCs,severe_vs_mild,PABPC4,up_in_severe,0.35687589605116987,0.609625615822315,0.317,0.429,1
Eff-NPCs,severe_vs_mild,TMEM258,up_in_severe,0.3569026146200835,0.09093457822425233,0.413,0.532,1
Eff-NPCs,severe_vs_mild,BCL6,down_in_severe,0.35766357863976544,-0.23475787149890232,0.173,0.216,1
Eff-NPCs,severe_vs_mild,RPL22L1,down_in_severe,0.35806019205238904,-0.12943867320328184,0.115,0.153,1
Eff-NPCs,severe_vs_mild,AK3,down_in_severe,0.3600567596959773,-0.4889204014232199,0.077,0.108,1
Eff-NPCs,severe_vs_mild,GOLM1,up_in_severe,0.36029246280023725,0.46346827901172694,0.183,0.239,1
Eff-NPCs,severe_vs_mild,SOD1,up_in_severe,0.3621157535770758,0.07049300612487297,0.625,0.813,1
Eff-NPCs,severe_vs_mild,COX4I1,up_in_severe,0.3623588751592779,0.11782323286927804,0.173,0.216,1
Eff-NPCs,severe_vs_mild,RPS2,up_in_severe,0.36249669858005684,0.36193546957431844,0.423,0.539,1
Eff-NPCs,severe_vs_mild,MIDN,up_in_severe,0.36310926017496165,1.0609577947519264,0.173,0.142,1
Eff-NPCs,severe_vs_mild,GINM1,down_in_severe,0.36433982448904817,-0.7408694443647588,0.096,0.129,1
Eff-NPCs,severe_vs_mild,PPP2R5C,up_in_severe,0.36490123020091286,0.8821442308719121,0.183,0.155,1
Eff-NPCs,severe_vs_mild,SCAF11,up_in_severe,0.3649765196891439,0.02408979407046255,0.125,0.163,1
Eff-NPCs,severe_vs_mild,TSC22D1,up_in_severe,0.3652919488679439,0.2636413772890114,0.644,0.655,1
Eff-NPCs,severe_vs_mild,PKD2,up_in_severe,0.3656732856127413,0.16689421681159866,0.087,0.124,1
Eff-NPCs,severe_vs_mild,ANK3,up_in_severe,0.36634264723942966,0.9302582229829932,0.327,0.321,1
Eff-NPCs,severe_vs_mild,FOSB,up_in_severe,0.36899201146195015,0.4901003785133202,0.721,0.871,1
Eff-NPCs,severe_vs_mild,MARCKSL1,up_in_severe,0.3700704844594519,0.18127442518358022,0.173,0.216,1
Eff-NPCs,severe_vs_mild,MAP3K2,up_in_severe,0.37064639515039033,2.419457411699786,0.144,0.124,1
Eff-NPCs,severe_vs_mild,MORF4L1,up_in_severe,0.37226328021047533,0.005645109195003162,0.442,0.561,1
Eff-NPCs,severe_vs_mild,CALD1,down_in_severe,0.37308283355576627,-0.364076585217213,0.144,0.184,1
Eff-NPCs,severe_vs_mild,RARS,down_in_severe,0.37370088744998575,-0.03758235728290621,0.115,0.15,1
Eff-NPCs,severe_vs_mild,RAB11A,up_in_severe,0.37602112407912053,1.0533065892478368,0.135,0.108,1
Eff-NPCs,severe_vs_mild,STOM,down_in_severe,0.3760535361731341,-0.12833862191510764,0.125,0.163,1
Eff-NPCs,severe_vs_mild,C1S,up_in_severe,0.3774068997755412,0.4931626909921021,0.51,0.658,1
Eff-NPCs,severe_vs_mild,DDX24,down_in_severe,0.37835790417487664,-0.08829926239368135,0.231,0.282,1
Eff-NPCs,severe_vs_mild,NUS1,up_in_severe,0.37864818068451433,0.5229403125907521,0.087,0.124,1
Eff-NPCs,severe_vs_mild,RBBP6,up_in_severe,0.37991202466645535,0.2403300663412158,0.279,0.363,1
Eff-NPCs,severe_vs_mild,VEGFA,down_in_severe,0.380144175396432,-0.11693320156868259,0.346,0.405,1
Eff-NPCs,severe_vs_mild,TMED3,down_in_severe,0.3804322695050948,-0.2970563426105631,0.154,0.189,1
Eff-NPCs,severe_vs_mild,CDC42SE1,up_in_severe,0.3811632591123703,0.5826709849382248,0.106,0.079,1
Eff-NPCs,severe_vs_mild,RPL41,down_in_severe,0.38135404266894557,-0.30738568059044047,0.173,0.208,1
Eff-NPCs,severe_vs_mild,IBTK,down_in_severe,0.382439585104193,-0.7193869950738229,0.077,0.105,1
Eff-NPCs,severe_vs_mild,NDUFB2,up_in_severe,0.3826397924527292,0.6073628282644108,0.26,0.226,1
Eff-NPCs,severe_vs_mild,EIF3L,up_in_severe,0.3833853013133972,0.5633700761663181,0.212,0.274,1
Eff-NPCs,severe_vs_mild,PHLDA1,up_in_severe,0.38465595706017797,0.1258796682926424,0.317,0.4,1
Eff-NPCs,severe_vs_mild,ZFR,up_in_severe,0.385383326591437,0.9421459427937608,0.087,0.121,1
Eff-NPCs,severe_vs_mild,UBC,up_in_severe,0.38548714181087007,0.7553383418425197,0.433,0.453,1
Eff-NPCs,severe_vs_mild,DLC1,up_in_severe,0.38740441138987264,0.6288110605579982,0.125,0.097,1
Eff-NPCs,severe_vs_mild,THBS2,up_in_severe,0.38786188035688496,0.2665186348028379,0.087,0.118,1
Eff-NPCs,severe_vs_mild,SRI,up_in_severe,0.3893019350994448,0.26119737784771135,0.144,0.184,1
Eff-NPCs,severe_vs_mild,ZFYVE21,up_in_severe,0.3914520223111761,0.7986060318054048,0.087,0.118,1
Eff-NPCs,severe_vs_mild,UACA,up_in_severe,0.3916984215113537,0.20467862108733625,0.154,0.205,1
Eff-NPCs,severe_vs_mild,IRF1,up_in_severe,0.39325747335002464,0.4045452179210798,0.202,0.168,1
Eff-NPCs,severe_vs_mild,PDLIM5,up_in_severe,0.39391625250829065,0.8559648342830088,0.288,0.366,1
Eff-NPCs,severe_vs_mild,MT-ND1,up_in_severe,0.39437409926783873,0.35076506849716704,0.74,0.847,1
Eff-NPCs,severe_vs_mild,SNX9,up_in_severe,0.39483620654537294,1.6193615692091383,0.183,0.158,1
Eff-NPCs,severe_vs_mild,PPRC1,up_in_severe,0.39568489439518567,0.8461111201474237,0.135,0.108,1
Eff-NPCs,severe_vs_mild,MAP4K5,up_in_severe,0.39607755752056434,0.6250950117319607,0.096,0.129,1
Eff-NPCs,severe_vs_mild,UQCRQ,up_in_severe,0.3968187065127565,0.06952207206810213,0.212,0.268,1
Eff-NPCs,severe_vs_mild,IST1,up_in_severe,0.3970030214663136,0.4129607851596353,0.135,0.179,1
Eff-NPCs,severe_vs_mild,NDEL1,up_in_severe,0.3976557285483696,0.20955203409340334,0.106,0.142,1
Eff-NPCs,severe_vs_mild,SNU13,down_in_severe,0.39846408175707304,-0.3332364500973737,0.202,0.239,1
Eff-NPCs,severe_vs_mild,CHAC1,up_in_severe,0.39930596257674383,0.14881175131864344,0.173,0.221,1
Eff-NPCs,severe_vs_mild,MRPL34,up_in_severe,0.3995710629261921,0.3117378994399519,0.096,0.126,1
Eff-NPCs,severe_vs_mild,SDHB,up_in_severe,0.40024155620298024,0.8749189314779258,0.077,0.108,1
Eff-NPCs,severe_vs_mild,FTL,up_in_severe,0.4008330569132096,1.2709747155614792e-5,0.5,0.584,1
Eff-NPCs,severe_vs_mild,HIPK3,up_in_severe,0.40186218741075463,0.2532447726143683,0.106,0.145,1
Eff-NPCs,severe_vs_mild,HEXIM1,up_in_severe,0.4029462984780663,0.4160077319983029,0.26,0.326,1
Eff-NPCs,severe_vs_mild,COPS9,up_in_severe,0.40397168488199736,0.9951609708283811,0.135,0.105,1
Eff-NPCs,severe_vs_mild,QSOX1,up_in_severe,0.4048364144187783,0.33685957973501235,0.135,0.176,1
Eff-NPCs,severe_vs_mild,UHRF1BP1L,down_in_severe,0.4058232907074026,-0.35082784219913093,0.087,0.116,1
Eff-NPCs,severe_vs_mild,ZNF644,up_in_severe,0.4070171912094315,0.06671518921565917,0.096,0.129,1
Eff-NPCs,severe_vs_mild,PTDSS1,down_in_severe,0.4074740866082464,-0.30610703141660767,0.087,0.116,1
Eff-NPCs,severe_vs_mild,MED8,down_in_severe,0.4077792612194688,-1.0036440639804116,0.077,0.103,1
Eff-NPCs,severe_vs_mild,FZD8,up_in_severe,0.4085593920571048,0.8248826090403484,0.125,0.168,1
Eff-NPCs,severe_vs_mild,TSPAN2,up_in_severe,0.409617315444151,0.4023452197141266,0.183,0.153,1
Eff-NPCs,severe_vs_mild,RPL15,down_in_severe,0.40986065148739703,-0.019379286514163763,0.692,0.832,1
Eff-NPCs,severe_vs_mild,COX7B,up_in_severe,0.4117734508440499,0.25826802216308176,0.077,0.105,1
Eff-NPCs,severe_vs_mild,ZBTB20,up_in_severe,0.4136290808056988,1.0904538099527123,0.163,0.139,1
Eff-NPCs,severe_vs_mild,RPLP0,up_in_severe,0.41437522426464346,0.17769552328840788,0.356,0.424,1
Eff-NPCs,severe_vs_mild,NFATC1,up_in_severe,0.4151502998446719,0.5904569865307507,0.298,0.287,1
Eff-NPCs,severe_vs_mild,CNIH1,up_in_severe,0.4154733287639546,0.5721186938122964,0.202,0.263,1
Eff-NPCs,severe_vs_mild,CASC4,down_in_severe,0.41573766092676456,-0.11787336685134697,0.096,0.129,1
Eff-NPCs,severe_vs_mild,TUFM,up_in_severe,0.4185917747650412,1.5727328037382413,0.106,0.084,1
Eff-NPCs,severe_vs_mild,ADI1,down_in_severe,0.4187577806525299,-0.0251926398787905,0.106,0.079,1
Eff-NPCs,severe_vs_mild,MAP2K3,up_in_severe,0.4218849998049701,1.0214678161937436,0.154,0.124,1
Eff-NPCs,severe_vs_mild,PHF3,down_in_severe,0.4224034381541509,-0.6582869750670608,0.087,0.113,1
Eff-NPCs,severe_vs_mild,ATXN10,up_in_severe,0.4227692549785966,0.9385964009592707,0.115,0.092,1
Eff-NPCs,severe_vs_mild,ZNF622,up_in_severe,0.42360595910304283,1.2981970375884833,0.077,0.105,1
Eff-NPCs,severe_vs_mild,VPS35,down_in_severe,0.42366095618395916,-0.4741895700543166,0.077,0.103,1
Eff-NPCs,severe_vs_mild,SLC1A5,up_in_severe,0.42414900494030944,0.7299844424525255,0.452,0.468,1
Eff-NPCs,severe_vs_mild,UBE2A,up_in_severe,0.4243841759716011,0.4419333550830296,0.202,0.168,1
Eff-NPCs,severe_vs_mild,ACAN,up_in_severe,0.42512181164942114,0.6248667847285034,0.337,0.429,1
Eff-NPCs,severe_vs_mild,FOS,up_in_severe,0.4281778630323294,0.1638389190096552,0.558,0.603,1
Eff-NPCs,severe_vs_mild,SERPINA5,up_in_severe,0.4284761536769205,0.6767180942630011,0.144,0.192,1
Eff-NPCs,severe_vs_mild,RCAN1,up_in_severe,0.4316097598472033,0.5291205294623089,0.433,0.592,1
Eff-NPCs,severe_vs_mild,FRG1,up_in_severe,0.4335015484741477,1.508426352049247,0.106,0.084,1
Eff-NPCs,severe_vs_mild,NPTN,up_in_severe,0.43429468684257927,0.37744772668914783,0.298,0.371,1
Eff-NPCs,severe_vs_mild,RAB10,up_in_severe,0.43586823594757945,0.39258262934622645,0.135,0.174,1
Eff-NPCs,severe_vs_mild,PREPL,down_in_severe,0.4363760447922392,-1.0082695651124811,0.077,0.1,1
Eff-NPCs,severe_vs_mild,TNPO1,down_in_severe,0.4364772785988699,-0.159541410874678,0.096,0.124,1
Eff-NPCs,severe_vs_mild,DAP,up_in_severe,0.4386615976339064,0.396044044781244,0.125,0.097,1
Eff-NPCs,severe_vs_mild,HLA-E,up_in_severe,0.4411802050708276,0.9532313348078411,0.192,0.171,1
Eff-NPCs,severe_vs_mild,ZFAND6,down_in_severe,0.44196081120022235,-0.19463459144970252,0.144,0.176,1
Eff-NPCs,severe_vs_mild,SEC13,up_in_severe,0.442464213925094,0.1224023822106084,0.096,0.126,1
Eff-NPCs,severe_vs_mild,PAK1IP1,up_in_severe,0.44305660228268057,0.31891741296999354,0.087,0.116,1
Eff-NPCs,severe_vs_mild,ATP5EP2,up_in_severe,0.4434210705944602,1.1770731561562897,0.144,0.121,1
