p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.2827355926418614e-19,0.613365758817765,0.255,0.132,4.194754925038685e-15,4,PCF11
2.568437573436709e-19,0.40504329590279653,0.251,0.128,4.719760884947297e-15,4,ADAMTS1
2.573337727138458e-19,0.35730393889544376,0.417,0.258,4.728765407389631e-15,4,ATF3
8.371571020294185e-19,0.4325566961977266,0.295,0.164,1.5383598906892595e-14,4,EIF4B
2.553841003870276e-18,0.3252964079464271,0.445,0.282,4.692938228712019e-14,4,ID4
9.79538547658819e-18,0.32402760977907974,0.264,0.142,1.800000035177846e-13,4,MAGED2
1.0976662516958645e-17,0.4184693473226182,0.342,0.203,2.0170715041163206e-13,4,LUC7L3
5.226691086486175e-17,0.29153000630604586,0.288,0.163,9.604567540526994e-13,4,MEF2A
5.284792340725298e-17,0.3068255081047866,0.892,0.687,9.711334405316808e-13,4,PTMA
2.1748116318578945e-16,0.26375493020053,0.375,0.231,3.9964338547020666e-12,4,SLC25A37
2.592378481856141e-16,0.27673941438199623,0.297,0.169,4.763754698258845e-12,4,SMAD7
4.1856418209670283e-16,0.3266873189757211,0.944,0.782,7.69153541020901e-12,4,HSP90AB1
7.86696893239408e-16,0.33549266545587786,0.392,0.246,1.4456342110167361e-11,4,NDFIP1
1.4606077640593963e-15,0.39490863820623645,0.251,0.14,2.6840128272355466e-11,4,TCP1
4.5934717408830365e-15,0.2728535648544078,0.286,0.165,8.440963671046667e-11,4,TMEM50A
5.369295005739596e-15,0.47491399849507965,0.257,0.148,9.866616502547081e-11,4,CSRNP1
6.137389184112565e-15,0.2999843435637055,0.282,0.166,1.1278066364725249e-10,4,SLC25A36
1.5975905505176578e-14,0.25602404012574714,0.278,0.163,2.9357323956312483e-10,4,ATP5B
2.1572185154664237e-14,0.5541944866365005,0.347,0.22,3.9641047440211e-10,4,ADM
2.902295806905247e-14,0.2541890315980453,0.3,0.181,5.333258774769082e-10,4,DNAJB4
2.0858433334847647e-13,0.27507600887027905,0.621,0.45,3.832945709611603e-9,4,TOB1
2.8876767341277113e-13,0.39764828443658934,0.253,0.15,5.306394766633082e-9,4,PPP1R15B
4.857835164135049e-13,0.2653209208007882,0.331,0.211,8.926757897614565e-9,4,HSPA2
8.632491342773851e-13,0.408719086279417,0.766,0.665,1.5863066091481228e-8,4,MT-ND5
1.918317641120633e-12,0.3503737706971727,0.261,0.156,3.5251004973232754e-8,4,PGRMC1
1.127163809702161e-11,0.5077622635001928,0.81,0.747,2.071276216708691e-7,4,MT-CYB
1.8452778125357547e-11,0.35260781956176945,0.727,0.592,3.390882508315703e-7,4,HSPH1
3.4585279826062506e-11,0.2869871775316253,0.438,0.303,6.355391020837246e-7,4,HMOX1
1.6537818956275413e-9,0.35708258007577687,0.806,0.719,3.03898961140517e-5,4,MT-ND1
1.1779484204607682e-4,0.38398300559771403,0.894,0.86,1,4,CLU
3.2407068254065786e-250,3.470747905936532,0.603,0.096,5.955122862367129e-246,5,CHI3L1
9.54262185255127e-221,2.990774377143735,0.866,0.282,1.7535521916248215e-216,5,MMP3
6.185358713308277e-206,2.7510581327568553,0.907,0.379,1.136621517157529e-201,5,SOD2
5.592282454927737e-180,3.8129641298146617,0.388,0.051,1.027637823917521e-175,5,CXCL2
1.562157234732859e-157,2.2115205779512195,0.717,0.217,2.8706201345451014e-153,5,NFKBIZ
6.755231598566091e-157,4.700239568810634,0.262,0.025,1.2413413585525049e-152,5,CCL20
3.5918246350207713e-143,2.330147192663638,0.917,0.489,6.6003369493141694e-139,5,IER3
1.0686453640765552e-137,3.0510237145483248,0.626,0.19,1.9637427210270778e-133,5,CHI3L2
1.0611490482163178e-129,3.2464091356311866,0.452,0.1,1.9499674910023055e-125,5,CCDC71L
1.4005567128969867e-127,2.003207665793657,0.775,0.312,2.573663015619503e-123,5,NFKBIA
1.0943811192276084e-114,2.3210822552378914,0.504,0.129,2.0110347446926533e-110,5,LIF
3.047768813780147e-114,3.26887465417182,0.275,0.039,5.600579972202398e-110,5,BIRC3
3.4697585227963756e-112,2.358010832425785,0.405,0.086,6.3760282614906195e-108,5,ICAM1
1.7961740212031468e-98,2.486571569335126,0.349,0.073,3.3006493813629027e-94,5,PDE4B
4.516928939320261e-97,2.300774283188503,0.322,0.062,8.300308618894911e-93,5,PTGER2
9.865180318832501e-94,2.2771416032316525,0.597,0.22,1.8128255353886603e-89,5,BMP2
4.636231712905867e-91,2.832548921777263,0.333,0.072,8.519539395635822e-87,5,MYO10
1.233845081612575e-85,1.3625299135876574,0.909,0.614,2.267313721971268e-81,5,MT2A
3.778131919286888e-83,1.0490460789245848,0.994,0.855,6.942695214881586e-79,5,CLU
1.8492810932067786e-79,2.3053419787616036,0.382,0.103,3.3982389368767763e-75,5,GLRX
4.629535210130671e-78,1.5822753295217504,0.884,0.623,8.507233902136121e-74,5,SERPINE2
2.11543403229323e-74,1.6776776434579932,0.475,0.156,3.8873215777420395e-70,5,FOXC2
2.3735218171625917e-72,1.1689847879558009,0.455,0.145,4.3615836912179786e-68,5,SLPI
4.10875770526803e-68,1.105928339684227,0.849,0.507,7.550253159200532e-64,5,MT1X
8.693540905896733e-62,1.2860944631588356,0.742,0.407,1.5975250768675837e-57,5,PNRC1
5.54050937262166e-61,1.9424385196089868,0.368,0.117,1.0181240023129562e-56,5,GCH1
1.286168573241761e-60,1.464822705038277,0.585,0.264,2.36346337018906e-56,5,MAP3K8
4.83496032256416e-60,1.5918696942303963,0.457,0.169,8.8847230887439e-56,5,AMOTL2
1.4915254096346327e-59,1.0619314066501788,0.909,0.682,2.740827092744601e-55,5,MGP
6.876732028997724e-59,1.1583502021264023,0.829,0.511,1.2636682776486217e-54,5,SLC39A14
1.6342157137013303e-57,2.489626352189126,0.31,0.092,3.003034795497565e-53,5,CXCL8
