p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
8.5560928428113415e-17,1.1662259635389405,0.443,0.437,1.5722676207950122e-12,1,ACAN
4.5978529492901805e-113,1.0293638357293986,0.803,0.735,8.449014579615635e-109,1,FMOD
1.1456095387455e-111,0.937756234144385,0.871,0.815,2.1051720883987307e-107,1,PRELP
0,2.1927943448850904,0.95,0.621,0,2,SCRG1
6.907846694716968e-190,1.9630770595239522,0.903,0.647,1.26938590862119e-185,2,MGP
2.8575877388423197e-102,1.8226700731181598,0.339,0.126,5.2511032288966465e-98,2,NDUFB1
1.3674349424393604e-63,1.7772378674178695,0.315,0.146,2.5127984502265687e-59,2,MT1G
2.1499974054399485e-75,1.7664312046653596,0.253,0.091,3.950835232236449e-71,2,RPA3
1.1212560087592842e-93,1.7626219819214957,0.297,0.104,2.0604200416960604e-89,2,ATP5EP2
1.8552095523387308e-233,1.7267079273616663,0.744,0.376,3.409133073377652e-229,2,TMEM258
8.728001134123626e-239,1.7197381409547803,0.758,0.393,1.6038574884065577e-234,2,SEC61G
1.9866499443064666e-135,1.689031429990593,0.442,0.171,3.650667937657563e-131,2,USMG5
1.9009689475841682e-162,1.6889551182569043,0.568,0.249,3.4932205380806673e-158,2,MRPL33
1.2596178919679394e-300,1.5920745321569636,0.926,0.609,2.3146738382802854e-296,2,RPS29
6.3845527147211585e-165,1.5865161658892828,0.608,0.287,1.1732254068571601e-160,2,COX7A2
1.2649749899285236e-107,1.5848149385870576,0.434,0.192,2.324518041492655e-103,2,KRT10
7.361229277308478e-250,1.5651617552274955,0.909,0.545,1.352699491998206e-245,2,C2orf40
2.805641139661833e-117,1.5630839237579237,0.444,0.187,5.1556461582425844e-113,2,NDUFA4
0,4.57724442410627,0.434,0.05,0,3,POSTN
0,4.4245559294973535,0.877,0.17,0,3,COL1A1
0,3.164051976644773,0.956,0.442,0,3,COL1A2
8.7080801123271e-241,3.1192634430553214,0.449,0.109,1.600196801441228e-236,3,TNC
0,3.068627620804862,0.917,0.471,0,3,COL3A1
1.0023405675250581e-64,3.009171597187331,0.26,0.11,1.8419010268840468e-60,3,LGALS1
1.8193768549441847e-269,2.8227499005439203,0.602,0.213,3.343286908645434e-265,3,COL6A3
9.332900876436408e-91,2.805743347052238,0.36,0.164,1.7150138650539545e-86,3,TGFBI
2.109816357087075e-83,2.6701658605820593,0.261,0.09,3.8769985377832086e-79,3,COL15A1
1.5675845434958463e-61,2.666824553929433,0.284,0.131,2.880593357127967e-57,3,LOXL2
