source,target,value,group,metric
Fibro-reg NPCs,ECM/Adh-NPCs,6.370964722645382e-6,mild,weight
Hom/Reg-like NPCs,ECM/Adh-NPCs,3.8058239291036795e-5,mild,weight
ECM/Adh-NPCs,Hom-NPCs,0.005006615120540958,mild,weight
Hom-NPCs,Hom-NPCs,0.0031805186891707055,mild,weight
Eff-NPCs,Hom-NPCs,8.129867560001995e-4,mild,weight
Ht-NPCs,Hom-NPCs,3.075807211238729e-5,mild,weight
Fibro-NPCs,Hom-NPCs,0.007393571731045312,mild,weight
Fibro-reg NPCs,Hom-NPCs,0.004263210877130803,mild,weight
Hom/Reg-like NPCs,Hom-NPCs,0.007449640139952247,mild,weight
ECM/Adh-NPCs,Eff-NPCs,0.007257095052896628,mild,weight
Hom-NPCs,Eff-NPCs,0.002828126748238054,mild,weight
Eff-NPCs,Eff-NPCs,0.0011095037673637125,mild,weight
Ht-NPCs,Eff-NPCs,1.1728512033676036e-4,mild,weight
Fibro-NPCs,Eff-NPCs,0.006585825947051262,mild,weight
Fibro-reg NPCs,Eff-NPCs,0.0037770837998224458,mild,weight
Hom/Reg-like NPCs,Eff-NPCs,0.008242959123365262,mild,weight
ECM/Adh-NPCs,Ht-NPCs,0,mild,weight
Hom-NPCs,Ht-NPCs,6.296588428398641e-7,mild,weight
Eff-NPCs,Ht-NPCs,2.303867457422907e-6,mild,weight
Ht-NPCs,Ht-NPCs,1.2029353735876845e-7,mild,weight
Fibro-NPCs,Ht-NPCs,1.2839788248179222e-4,mild,weight
Fibro-reg NPCs,Ht-NPCs,9.471505890933203e-5,mild,weight
Hom/Reg-like NPCs,Ht-NPCs,4.1348384813425866e-5,mild,weight
ECM/Adh-NPCs,Fibro-NPCs,0.004459481435926474,mild,weight
Hom-NPCs,Fibro-NPCs,0.002879793658737949,mild,weight
Eff-NPCs,Fibro-NPCs,6.244365002440416e-4,mild,weight
Ht-NPCs,Fibro-NPCs,7.273233681488578e-5,mild,weight
Fibro-NPCs,Fibro-NPCs,0.0038240800947462812,mild,weight
Fibro-reg NPCs,Fibro-NPCs,0.002498647254184985,mild,weight
Hom/Reg-like NPCs,Fibro-NPCs,0.00432267160431854,mild,weight
ECM/Adh-NPCs,Fibro-reg NPCs,0.008431776049873994,mild,weight
Hom-NPCs,Fibro-reg NPCs,0.004530917885378251,mild,weight
Eff-NPCs,Fibro-reg NPCs,0.0014631756061479033,mild,weight
Ht-NPCs,Fibro-reg NPCs,1.8928137660044638e-4,mild,weight
Fibro-NPCs,Fibro-reg NPCs,0.008456594323469492,mild,weight
